PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81011,COPD,485,TOTAL,11944
A81011,CVDPP,60,30_74,6706
A81011,DEM,121,TOTAL,11944
A81011,DEP,1645,18OV,9618
A81011,DM,685,17OV,9741
A81011,EP,118,18OV,9618
A81011,HF,130,TOTAL,11944
A81011,HYP,2210,TOTAL,11944
A81011,LD,101,TOTAL,11944
A81011,MH,121,TOTAL,11944
A81011,OB,1220,18OV,9618
A81011,OST,6,50OV,4826
A81011,PAD,101,TOTAL,11944
A81011,PC,105,TOTAL,11944
A81011,RA,104,16OV,9879
A81011,STIA,291,TOTAL,11944
A81012,AF,84,TOTAL,5005
A81012,AST,335,TOTAL,5005
A81012,CAN,98,TOTAL,5005
A81012,CHD,177,TOTAL,5005
A81012,CKD,123,18OV,3819
A81012,COPD,240,TOTAL,5005
A81012,CVDPP,31,30_74,2638
A81012,DEM,35,TOTAL,5005
A81012,DEP,437,18OV,3819
A81012,DM,275,17OV,3873
A81012,EP,55,18OV,3819
A81012,HF,33,TOTAL,5005
A81012,HYP,815,TOTAL,5005
A81012,LD,38,TOTAL,5005
A81012,MH,56,TOTAL,5005
A81012,OB,743,18OV,3819
A81012,OST,7,50OV,1704
A81012,PAD,58,TOTAL,5005
A81012,PC,41,TOTAL,5005
A81012,RA,27,16OV,3927
A81012,STIA,107,TOTAL,5005
A81013,AF,127,TOTAL,6418
A81013,AST,408,TOTAL,6418
A81013,CAN,184,TOTAL,6418
A81013,CHD,248,TOTAL,6418
A81013,CKD,225,18OV,5054
A81013,COPD,191,TOTAL,6418
A81013,CVDPP,68,30_74,3661
A81013,DEM,37,TOTAL,6418
A81013,DEP,716,18OV,5054
A81013,DM,424,17OV,5123
A81013,EP,56,18OV,5054
A81013,HF,40,TOTAL,6418
A81013,HYP,1133,TOTAL,6418
A81013,LD,44,TOTAL,6418
A81013,MH,57,TOTAL,6418
A81013,OB,473,18OV,5054
A81013,OST,5,50OV,2513
A81013,PAD,35,TOTAL,6418
A81013,PC,14,TOTAL,6418
A81013,RA,54,16OV,5200
A81013,STIA,106,TOTAL,6418
A81014,AF,143,TOTAL,3809
A81014,AST,300,TOTAL,3809
A81014,CAN,122,TOTAL,3809
A81014,CHD,236,TOTAL,3809
A81014,CKD,196,18OV,3210
A81014,COPD,188,TOTAL,3809
A81014,CVDPP,24,30_74,2173
A81014,DEM,46,TOTAL,3809
A81014,DEP,229,18OV,3210
A81014,DM,265,17OV,3234
A81014,EP,40,18OV,3210
A81014,HF,64,TOTAL,3809
A81014,HYP,806,TOTAL,3809
A81014,LD,14,TOTAL,3809
A81014,MH,34,TOTAL,3809
A81014,OB,530,18OV,3210
A81014,OST,3,50OV,1945
A81014,PAD,39,TOTAL,3809
A81014,PC,21,TOTAL,3809
A81014,RA,26,16OV,3265
A81014,STIA,109,TOTAL,3809
A81015,AF,51,TOTAL,2919
A81015,AST,225,TOTAL,2919
A81015,CAN,100,TOTAL,2919
A81015,CHD,129,TOTAL,2919
A81015,CKD,104,18OV,2421
A81015,COPD,70,TOTAL,2919
A81015,CVDPP,11,30_74,1748
A81015,DEM,20,TOTAL,2919
A81015,DEP,239,18OV,2421
A81015,DM,159,17OV,2444
A81015,EP,30,18OV,2421
A81015,HF,20,TOTAL,2919
A81015,HYP,449,TOTAL,2919
A81015,LD,8,TOTAL,2919
A81015,MH,22,TOTAL,2919
A81015,OB,296,18OV,2421
A81015,OST,2,50OV,1314
A81015,PAD,22,TOTAL,2919
A81015,PC,22,TOTAL,2919
A81015,RA,14,16OV,2462
A81015,STIA,56,TOTAL,2919
A81016,AF,173,TOTAL,9892
A81016,AST,610,TOTAL,9892
A81016,CAN,257,TOTAL,9892
A81016,CHD,320,TOTAL,9892
A81016,CKD,336,18OV,7737
A81016,COPD,258,TOTAL,9892
A81016,CVDPP,67,30_74,5080
A81016,DEM,70,TOTAL,9892
A81016,DEP,885,18OV,7737
A81016,DM,539,17OV,7825
A81016,EP,78,18OV,7737
A81016,HF,73,TOTAL,9892
A81016,HYP,1157,TOTAL,9892
A81016,LD,82,TOTAL,9892
A81016,MH,88,TOTAL,9892
A81016,OB,857,18OV,7737
A81016,OST,16,50OV,2924
A81016,PAD,69,TOTAL,9892
A81016,PC,28,TOTAL,9892
A81016,RA,91,16OV,7935
A81016,STIA,173,TOTAL,9892
A81017,AF,356,TOTAL,19701
A81017,AST,1088,TOTAL,19701
A81017,CAN,536,TOTAL,19701
A81017,CHD,611,TOTAL,19701
A81017,CKD,363,18OV,14975
A81017,COPD,366,TOTAL,19701
A81017,CVDPP,89,30_74,11203
A81017,DEM,155,TOTAL,19701
A81017,DEP,1838,18OV,14975
A81017,DM,908,17OV,15214
A81017,EP,114,18OV,14975
A81017,HF,196,TOTAL,19701
A81017,HYP,2510,TOTAL,19701
A81017,LD,51,TOTAL,19701
A81017,MH,102,TOTAL,19701
A81017,OB,2287,18OV,14975
A81017,OST,48,50OV,6774
A81017,PAD,83,TOTAL,19701
A81017,PC,37,TOTAL,19701
A81017,RA,103,16OV,15455
A81017,STIA,347,TOTAL,19701
A81018,AF,237,TOTAL,10166
A81018,AST,682,TOTAL,10166
A81018,CAN,413,TOTAL,10166
A81018,CHD,491,TOTAL,10166
A81018,CKD,439,18OV,8084
A81018,COPD,466,TOTAL,10166
A81018,CVDPP,46,30_74,5759
A81018,DEM,97,TOTAL,10166
A81018,DEP,1245,18OV,8084
A81018,DM,733,17OV,8179
A81018,EP,84,18OV,8084
A81018,HF,140,TOTAL,10166
